taxonomy_version	code	parent_code	level	label	definition
1.0	10.29.58.115	10.29.58	4	Travel Diaries	Personal vlogs sharing travel experiences, thoughts, and cultural exploration in real time.
1.0	08.25.50.100.19	08.25.50.100	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	05.15.91.182	05.15.91	4	Event Mysteries	Investigates unexplained public events or phenomena through timelines and theories.
1.0	09.28.57.113	09.28.57	4	Yoga Practices	Demonstrates physical sequences and breathwork tied to yoga traditions and styles.
1.0	09.28.56.112	09.28.56	4	Energy Healing	Covers reiki, chakras, aura cleansing, and other metaphysical or spiritual healing traditions.
1.0	09.28.56.111	09.28.56	4	Herbal Remedies	Explores plant-based health practices like tinctures, teas, and traditional healing methods.
1.0	09.27.55.110	09.27.55	4	Breathing Exercises	Teaches breath control and rhythm to reduce stress, increase awareness, or aid recovery.
1.0	09.27.55.109	09.27.55	4	Meditation	Guides viewers through focused mindfulness practices or techniques to quiet the mind.
1.0	09.27.54.108	09.27.54	4	Stress Relief	Presents exercises, routines, or tools to manage daily tension and emotional overwhelm.
1.0	05.15.91.181	05.15.91	4	Government Secrets	Explores declassified documents, covert programs, or conspiracy-related theories.
1.0	09.27.54.107	09.27.54	4	Counseling Tips	Offers mental health advice or therapy-informed guidance from licensed or experience-based perspectives.
1.0	09.26.53.105	09.26.53	4	Cardio Workouts	Demonstrates aerobic routines like running, cycling, or HIIT for endurance and heart health.
1.0	09.26.52.104	09.26.52	4	Supplements	Reviews or explains use of vitamins, powders, or wellness products to support physical health.
1.0	09.26.52.103	09.26.52	4	Diet Plans	Provides structured meal planning advice for health, weight, or lifestyle goals.
1.0	08.25.51.102	08.25.51	4	Emergency Funds	Teaches how to save, structure, and calculate short-term financial reserves for unexpected costs.
1.0	08.25.51.101	08.25.51	4	Retirement Planning	Explains how to build long-term financial plans for retirement, including accounts, timelines, and strategy.
1.0	08.25.50.100	08.25.50	4	Debt Management	Offers advice and frameworks for reducing, restructuring, or eliminating debt.
1.0	09.26.53.106	09.26.53	4	Strength Programs	Shares planned fitness programs focused on building muscle through progressive overload.
1.0	12.36.73.146.46	12.36.73.146	5	Showcase	Displays the features or value of a single product, creation, or talent.
